Age,Cs,UPV,Er
14 days,21.2807,2874.7,2.8391
14 days,21.813,2684.9,2.8291
14 days,22.4325,2788.7,2.824
14 days,22.0269,2828.9,2.8263
14 days,21.3682,2895.8,2.8467
14 days,22.0936,3022.5,2.8628
14 days,22.5383,2684.9,2.8415
14 days,21.7037,2887.7,2.8546
14 days,21.6982,3132.9,2.8542
14 days,21.2336,2812.6,2.85
14 days,22.5202,2580,2.8277
14 days,22.3473,2656.8,2.8558
14 days,22.4862,2518.3,2.8558
14 days,21.908,2611.6,2.847
14 days,22.6168,2628.3,2.8381
14 days,21.2032,2647.6,2.8595
14 days,21.6282,2614.8,2.8474
14 days,22.6292,2628.5,2.8649
14 days,22.584,2558,2.8621
14 days,22.306,2655.6,2.8389
14 days,21.9937,2745.1,2.8774
14 days,21.3288,2750.8,2.8735
14 days,21.0881,3283.1,2.8789
14 days,22.5459,2895.4,2.8823
14 days,21.7891,3172.6,2.8813
14 days,22.6541,3036.8,2.8692
14 days,21.9566,3197,2.8829
14 days,21.9564,2601.4,2.8672
14 days,21.1704,3370.8,2.8748
14 days,21.1713,3255.1,2.8811
14 days,23.2873,3394.8,3.7608
14 days,24.3235,3435.3,3.2974
14 days,23.5963,3421.6,3.72
14 days,24.833,3451.3,3.885
14 days,24.8657,3412.3,3.1579
14 days,25.0849,3446.4,3.0314
14 days,24.1069,3448.7,3.1382
14 days,23.5535,3448.3,3.2781
14 days,23.5657,3433.6,3.2076
14 days,24.2055,3393.3,3.9244
28 days,25.236,3495.2,4.0096
28 days,25.1946,3493.6,4.0521
28 days,25.2059,3489,4.0183
28 days,25.2237,3494.4,4.0714
28 days,25.2515,3494.2,4.0187
28 days,25.176,3495.8,4.045
28 days,25.2313,3499.7,4.084
28 days,25.2176,3498.1,4.0334
28 days,25.2031,3500.7,4.0092
28 days,25.2482,3488.2,4.0223
28 days,25.0487,3495.9,4.0684
28 days,25.1636,3488.7,4.071
28 days,24.9197,3473.5,4.0751
28 days,24.9247,3478.6,4.0473
28 days,25.0837,3488.9,4.0572
28 days,24.8286,3492.5,4.0463
28 days,24.7231,3500.8,4.0669
28 days,24.733,3480.1,4.0471
28 days,25.1915,3487.2,4.0838
28 days,25.135,3496.5,4.0601
28 days,24.7066,3464.5,4.2021
28 days,24.3057,3469.2,4.0905
28 days,24.6467,3458.7,4.2279
28 days,24.443,3465.6,4.1947
28 days,24.1157,3455.3,4.2071
28 days,24.3464,3471.9,4.1574
28 days,24.4694,3457.3,4.2004
28 days,24.5798,3460.9,4.1094
28 days,24.42,3462.5,4.0887
28 days,24.0662,3460.5,4.1061
28 days,24.9281,3514.2,5.6643
28 days,27.4219,3462,6.2618
28 days,30.199,3526.6,4.9483
28 days,24.3482,3455.4,5.2213
28 days,29.0103,3478.5,6.34
28 days,31.077,3469.1,5.7379
28 days,26.0734,3530.6,6.6544
28 days,24.9982,3459.9,4.7371
28 days,28.9647,3502.1,6.2552
28 days,30.577,3506.8,5.8867
60 days,31.3578,3498.6,6.6759
60 days,31.4192,3486.2,6.6759
60 days,31.2692,3533.4,6.6759
60 days,31.3883,3489,6.6759
60 days,31.3017,3505.8,6.6759
60 days,31.317,3496.1,6.6759
60 days,31.2612,3524.3,6.6759
60 days,31.402,3504.9,6.6759
60 days,31.3608,3495.6,6.6759
60 days,31.385,3480.8,6.6759
60 days,31.6817,3478.3,6.0017
60 days,31.4606,3478.3,5.8502
60 days,31.7254,3478.3,5.8012
60 days,31.5896,3478.3,5.783
60 days,31.6667,3478.3,6.2175
60 days,31.6629,3478.3,6.1701
60 days,31.6895,3478.3,5.5492
60 days,31.4873,3478.3,6.0009
60 days,31.5775,3478.3,5.6748
60 days,31.6257,3478.3,6.3503
60 days,32.229,3472.2,6.2309
60 days,32.1781,3461.1,6.1909
60 days,32.2097,3414.2,6.6328
60 days,32.0456,3402.7,5.599
60 days,32.0457,3413.6,6.0874
60 days,32.1885,3453.8,6.1123
60 days,31.7584,3465.7,5.604
60 days,32.2045,3408.2,6.5636
60 days,31.9539,3413.4,6.5397
60 days,31.7592,3455.9,6.015
60 days,33.9229,3448.9,6.6759
60 days,32.6087,3470.8,6.6759
60 days,32.5844,3589.9,6.6759
60 days,33.6113,3588.1,6.6759
60 days,32.8301,3529.2,6.6759
60 days,32.985,3529.5,6.6759
60 days,33.1575,3462.6,6.6759
60 days,33.1677,3559.3,6.6759
60 days,33.1229,3582.1,6.6759
60 days,33.6199,3499,6.6759
90 days,34.26,3625.4,6.3623
90 days,34.2311,3625.2,6.2881
90 days,34.3583,3627,6.6134
90 days,34.0472,3623.1,6.5829
90 days,33.4397,3620.9,6.4001
90 days,34.1685,3620.8,6.5284
90 days,33.4795,3622.4,6.2935
90 days,33.5442,3627.2,6.2941
90 days,33.3655,3623,6.4231
90 days,33.3602,3628.5,6.3381
90 days,33.4411,3622.4,6.441
90 days,33.4583,3623.7,6.5313
90 days,33.6877,3622.8,6.6701
90 days,33.4754,3631.5,6.5029
90 days,34.0193,3621.4,6.6498
90 days,33.9962,3636.2,6.5661
90 days,33.7242,3634.2,6.4733
90 days,33.4085,3638.2,6.5341
90 days,33.8569,3629.6,6.6318
90 days,33.377,3632.9,6.3612
90 days,32.399,3619.2,6.6759
90 days,32.6825,3627.3,6.6759
90 days,32.0748,3633.2,6.6759
90 days,30.287,3617.2,6.6759
90 days,31.2201,3638.8,6.6759
90 days,30.3314,3632.2,6.6759
90 days,33.2735,3617.3,6.6759
90 days,32.1144,3631.3,6.6759
90 days,33.997,3632.6,6.6759
90 days,31.2135,3636.9,6.6759
